name,description,longDescription,category,logoColor,websiteURL,githubURL,docsURL
DataRobot,Enterprise AI platform for end-to-end machine learning automation and operations,"An enterprise AI platform that automates the end-to-end process of building, deploying, and maintaining machine learning models. DataRobot provides tools for automated feature engineering, model selection, hyperparameter tuning, and deployment, enabling organizations to accelerate their AI initiatives.",mlops,#2CCE8F,https://www.datarobot.com,,https://docs.datarobot.com
H2O.ai,Open-source machine learning platform with AutoML capabilities for enterprises,"An AI platform that provides open-source machine learning and automated machine learning (AutoML) solutions. H2O.ai offers tools for data scientists to build models using its distributed machine learning library, as well as automated solutions that enable non-experts to create production-ready models with minimal effort.",modeldevelopment,#43B02A,https://h2o.ai,https://github.com/h2oai,https://docs.h2o.ai
KNIME,Open-source data analytics platform with visual workflow designer for data science,"An open-source data analytics platform that allows users to create data science workflows through a visual programming interface. KNIME provides a rich set of modules for data manipulation, transformation, analysis, and visualization, along with machine learning components for model building and deployment.",modeldevelopment,#FFD700,https://www.knime.com,https://github.com/knime,https://docs.knime.com
RapidMiner,Data science platform for teams with visual workflow design and AutoML,"A data science platform that provides a visual workflow designer for data preparation, machine learning, and model operations. RapidMiner enables data scientists and business analysts to build analytical workflows and predictive models with minimal coding, while also supporting the deployment and maintenance of those models in production.",modeldevelopment,#F7941D,https://rapidminer.com,,https://docs.rapidminer.com
HuggingFace Datasets,Library and community hub for easily accessing and sharing machine learning datasets,"A library and hub for easily accessing and sharing machine learning datasets across various domains including NLP, computer vision, and audio. HuggingFace Datasets provides a simple API for working with a wide range of public datasets, with features for downloading, preprocessing, and versioning that streamline the model development process.",datalayer,#FFBD59,https://huggingface.co/datasets,https://github.com/huggingface/datasets,https://huggingface.co/docs/datasets
Labelbox,Training data platform for creating and managing labeled data for machine learning applications,"A training data platform that helps teams create and manage labeled data for machine learning applications. Labelbox provides tools for image, video, text, and audio annotation, with features for quality control, workforce management, and model-assisted labeling to improve the efficiency of creating high-quality training datasets.",datalayer,#7C66FF,https://labelbox.com,https://github.com/Labelbox,https://docs.labelbox.com
Scale AI,"Data infrastructure for AI with annotation, synthetic data, and evaluation services","A data platform that provides data annotation, synthetic data generation, and model evaluation services for AI development. Scale AI helps companies build high-quality training data with a combination of human and automated systems, supporting various data types including images, video, text, and 3D point clouds.",datalayer,#3C47C6,https://scale.com,,https://docs.scale.com
Snorkel,Platform for programmatically building and managing training datasets for machine learning,"A platform for programmatically building and managing training datasets using a programmatic labeling approach. Snorkel allows users to create and manage data labeling functions, combine them using a label model, and generate training datasets without manual annotation, significantly accelerating the development of machine learning applications.",datalayer,#FFB92A,https://snorkel.ai,https://github.com/snorkel-team/snorkel,https://snorkel.readthedocs.io
IBM Watson,Suite of enterprise AI services and applications for business automation and insights,"A portfolio of enterprise-ready AI services, applications, and tools designed to help organizations automate business processes and gain insights from their data. IBM Watson includes pre-trained models for natural language processing, computer vision, and other domains, with deployment options across cloud, on-premises, and hybrid environments.",applications,#1261FE,https://www.ibm.com/watson,,https://cloud.ibm.com/docs/watson
Google Cloud Healthcare API,Managed solution for storing and accessing healthcare data in Google Cloud,"A fully managed, enterprise-grade solution for ingesting, storing, and interacting with healthcare data in Google Cloud. The Healthcare API supports industry-standard protocols like FHIR, HL7v2, and DICOM, enabling organizations to build and deploy healthcare applications with AI capabilities while maintaining compliance with regulations.",datalayer,#4285F4,https://cloud.google.com/healthcare,,https://cloud.google.com/healthcare/docs
Microsoft Azure Health Insights,Suite of FHIR-enabled healthcare APIs for extracting insights from medical data,"A suite of healthcare APIs built on the FHIR standard that helps extract insights from structured and unstructured medical data. Azure Health Insights includes capabilities for text analytics for health, medical entity extraction, and healthcare decision support, enabling organizations to build AI-powered healthcare applications.",applications,#0078D4,https://azure.microsoft.com/en-us/products/health-insights,,https://learn.microsoft.com/en-us/azure/healthcare-apis
MONAI,Open-source framework for deep learning in healthcare imaging with domain-specific capabilities,"An open-source framework for deep learning in healthcare imaging, developed as a collaboration between NVIDIA and King's College London. MONAI provides domain-optimized foundational capabilities for developing healthcare imaging training workflows, with specialized modules for medical image transformations, loss functions, and evaluation metrics.",modeldevelopment,#33B8FF,https://monai.io,https://github.com/Project-MONAI/MONAI,https://docs.monai.io
Salesforce Einstein,Integrated AI capabilities for CRM applications and business intelligence,"An AI technology embedded within Salesforce products that provides predictive analytics, natural language processing, and automation capabilities for customer relationship management. Einstein enables organizations to leverage AI for sales forecasting, lead scoring, customer service automation, and personalized marketing.",applications,#00A1E0,https://www.salesforce.com/products/einstein/overview,,https://developer.salesforce.com/docs/atlas.en-us.api_einstein.meta/api_einstein
Symphony AyasdiAI,AI platform for financial services with focus on anti-money laundering and fraud detection,"An AI platform specifically designed for financial services applications, with a focus on anti-money laundering, fraud detection, and risk assessment. AyasdiAI helps financial institutions identify complex patterns and relationships in their data that traditional rule-based systems might miss, improving regulatory compliance and reducing false positives.",security,#2C3E50,https://www.symphonyayasdi.com,,https://www.symphonyayasdi.com/resources
Nvidia Clara,Healthcare application framework for AI-powered medical imaging and genomics,"A healthcare application framework that includes tools for AI-assisted annotation, model training, and deployment for medical imaging and genomics applications. Clara provides domain-specific tools and pretrained models that accelerate the development and deployment of AI applications in healthcare settings.",applications,#76B900,https://developer.nvidia.com/clara,,https://docs.nvidia.com/clara
AWS HealthLake,"HIPAA-eligible service for storing, transforming, and analyzing health data","A HIPAA-eligible service that enables healthcare providers, pharmaceutical companies, and health insurers to store, transform, query, and analyze health data at scale. HealthLake uses machine learning to understand and extract meaningful information from unstructured health data, providing a complete view of patient and population health.",datalayer,#FF9900,https://aws.amazon.com/healthlake,,https://docs.aws.amazon.com/healthlake
Clarifai,Computer vision and multi-modal AI platform with pre-built models and custom training,"A platform that provides computer vision and multi-modal AI capabilities through APIs and on-premise solutions. Clarifai offers pre-built models for visual recognition, content moderation, face detection, and other computer vision tasks, along with tools for custom model training and deployment.",applications,#ED417B,https://www.clarifai.com,https://github.com/Clarifai,https://docs.clarifai.com
Apache Kafka,Distributed event streaming platform for high-performance data pipelines and streaming analytics,"A distributed event streaming platform capable of handling trillions of events a day. Kafka combines messaging, storage, and stream processing to enable real-time data pipelines and streaming applications, with features for scalability, durability, and fault tolerance across distributed environments.",datalayer,#231F20,https://kafka.apache.org,https://github.com/apache/kafka,https://kafka.apache.org/documentation
Redpanda,Kafka-compatible streaming data platform with improved performance and simplified operation,"A modern streaming data platform that is API-compatible with Apache Kafka but engineered for better performance, reduced operational complexity, and lower infrastructure costs. Redpanda delivers high throughput and low latency with a JVM-free, thread-per-core implementation in C++.",datalayer,#FF5E5E,https://redpanda.com,https://github.com/redpanda-data/redpanda,https://docs.redpanda.com
Linkerd,"Ultralight, security-first service mesh for Kubernetes with minimal resource requirements","A lightweight, security-first service mesh for Kubernetes that adds critical security, observability, and reliability features to Kubernetes applications without requiring code changes. Linkerd focuses on being ultralight with minimal resource requirements and exceptional performance.",infrastructure,#2BEDA7,https://linkerd.io,https://github.com/linkerd/linkerd2,https://linkerd.io/docs
Istio,"Service mesh platform that connects, secures, controls, and observes microservices","An open-source service mesh that connects, secures, controls, and observes microservices. Istio provides traffic management, security capabilities, and telemetry collection without requiring code changes, helping organizations run distributed microservice architectures on Kubernetes.",infrastructure,#466BB0,https://istio.io,https://github.com/istio/istio,https://istio.io/latest/docs
Envoy,Cloud-native high-performance edge and service proxy designed for microservice applications,"A high-performance, cloud-native edge and service proxy designed for microservice applications. Envoy handles network-level operations transparently and provides features like load balancing, observability, and advanced traffic routing with a focus on performance and extensibility.",infrastructure,#B0C1D3,https://www.envoyproxy.io,https://github.com/envoyproxy/envoy,https://www.envoyproxy.io/docs
Cilium,"eBPF-based networking, security, and observability for cloud native environments","A networking, security, and observability solution that leverages eBPF to secure and observe communications between services. Cilium provides deep visibility into network traffic with protocol awareness, identity-based security policies, and API-aware network filtering for Kubernetes environments.",infrastructure,#F2771A,https://cilium.io,https://github.com/cilium/cilium,https://docs.cilium.io
Argo CD,Declarative GitOps continuous delivery tool for Kubernetes,"A declarative, GitOps continuous delivery tool for Kubernetes that automates the deployment of applications. Argo CD ensures that the deployed application state matches the state specified in a Git repository, providing automated synchronization, rollbacks, and visualization of application deployments.",mlops,#FDB515,https://argoproj.github.io/cd,https://github.com/argoproj/argo-cd,https://argo-cd.readthedocs.io
HashiCorp Consul,Service networking platform for discovering and connecting applications,"A service networking platform that provides service discovery, service mesh, and service configuration capabilities. Consul connects applications across distributed infrastructure with service-to-service security, efficient load balancing, and network traffic control.",infrastructure,#CA2171,https://www.consul.io,https://github.com/hashicorp/consul,https://developer.hashicorp.com/consul/docs
etcd,"Distributed, reliable key-value store for distributed systems configuration data","A distributed, reliable key-value store that is the primary datastore for Kubernetes. etcd provides a reliable way to store configuration data that needs to be accessed by distributed systems, with features for high availability, strong consistency, and reliable distributed coordination.",infrastructure,#419EDA,https://etcd.io,https://github.com/etcd-io/etcd,https://etcd.io/docs
CoreDNS,"Flexible, extensible DNS server with plugin architecture used by Kubernetes","A flexible, extensible DNS server that serves as the Kubernetes cluster DNS. CoreDNS provides service discovery for containerized applications with a modular, plugin-based architecture that can be extended to support various backends and use cases beyond standard DNS functionality.",infrastructure,#5F8FBF,https://coredns.io,https://github.com/coredns/coredns,https://coredns.io/manual/toc
containerd,Industry-standard container runtime with emphasis on simplicity and robustness,"An industry-standard container runtime with an emphasis on simplicity, robustness, and portability. containerd manages the complete container lifecycle including image transfer, storage, container execution, and supervision, providing the core container runtime capabilities for Kubernetes and Docker.",infrastructure,#5AC5C5,https://containerd.io,https://github.com/containerd/containerd,https://containerd.io/docs
Pulumi,Infrastructure as Code toolkit with support for multiple programming languages,"An Infrastructure as Code platform that lets you build cloud infrastructure using familiar programming languages like TypeScript, Python, Go, and .NET. Pulumi enables developers to define cloud resources with the same languages and tools they use for application development, with strong typing and IDE integration.",infrastructure,#4F47C4,https://www.pulumi.com,https://github.com/pulumi/pulumi,https://www.pulumi.com/docs
Fluentd,Open source data collector for unified logging layer with hundreds of plugins,"An open source data collector for creating a unified logging layer. Fluentd allows you to collect logs from various sources, process them, and send them to different destinations with hundreds of plugins that extend its functionality for different data sources and output formats.",monitoring,#31A8FF,https://www.fluentd.org,https://github.com/fluent/fluentd,https://docs.fluentd.org
Jaeger,End-to-end distributed tracing system for microservice-based architectures,"An end-to-end distributed tracing system designed for microservice-based architectures. Jaeger helps monitor and troubleshoot complex, distributed systems by tracking requests across service boundaries, visualizing call flows, and identifying performance bottlenecks or errors in distributed transactions.",monitoring,#66CFE3,https://www.jaegertracing.io,https://github.com/jaegertracing/jaeger,https://www.jaegertracing.io/docs
OpenTelemetry,Observability framework for cloud-native software with vendor-neutral standards,"An observability framework and toolkit for cloud-native software that standardizes how telemetry data is collected and transmitted. OpenTelemetry provides vendor-neutral APIs, libraries, and agents for distributed tracing, metrics, and logs, enabling consistent observability across different environments and tools.",monitoring,#425CC7,https://opentelemetry.io,https://github.com/open-telemetry,https://opentelemetry.io/docs
Crossplane,Open source control plane that enables platform teams to build infrastructure abstractions,"An open source Kubernetes add-on that transforms your cluster into a universal control plane. Crossplane enables platform teams to build infrastructure abstractions with Kubernetes-style declarative APIs, allowing application teams to self-service infrastructure needs without worrying about the underlying details.",infrastructure,#6D6CE3,https://crossplane.io,https://github.com/crossplane/crossplane,https://docs.crossplane.io
Traefik,Modern HTTP reverse proxy and load balancer for microservices,"A modern HTTP reverse proxy and load balancer that makes deploying microservices easy. Traefik integrates with existing infrastructure components and automates service discovery and configuration, with dynamic configuration, TLS support, and multiple provider integrations for cloud-native environments.",infrastructure,#1CB1C2,https://traefik.io,https://github.com/traefik/traefik,https://doc.traefik.io
HashiCorp Nomad,Flexible workload orchestrator for deploying applications across on-premises and clouds,"A flexible workload orchestrator that enables enterprises to easily deploy and manage applications in any environment at scale. Nomad handles scheduling, deployment, and scaling of applications and services, supporting containers, virtual machines, and standalone applications with a simple, unified workflow.",infrastructure,#60DCA8,https://www.nomadproject.io,https://github.com/hashicorp/nomad,https://developer.hashicorp.com/nomad/docs
NATS,"Simple, secure, and high-performance messaging system for cloud native applications","A simple, secure, and high-performance messaging system for cloud native applications, IoT messaging, and microservices architectures. NATS provides messaging patterns like publish/subscribe, request/reply, and queuing with features for high availability, extremely high throughput, and minimal latency.",datalayer,#34A5DB,https://nats.io,https://github.com/nats-io/nats-server,https://docs.nats.io
Dapr,"Portable, event-driven runtime for building microservice applications","A portable, event-driven runtime that makes it easy to build resilient, microservice stateless and stateful applications. Dapr provides building blocks that simplify microservice development with APIs for state management, service invocation, pub/sub messaging, and more, running alongside your application code.",infrastructure,#0D2192,https://dapr.io,https://github.com/dapr/dapr,https://docs.dapr.io
Harbor,"Cloud native registry for storing, signing, and scanning container images","An open source cloud native registry that stores, signs, and scans container images for vulnerabilities. Harbor provides security features like vulnerability scanning, image signing, and role-based access control, along with advanced functionality for replication, auditing, and policy enforcement.",infrastructure,#60B532,https://goharbor.io,https://github.com/goharbor/harbor,https://goharbor.io/docs
